EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;FONCTION;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;1068;0,00;178274,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;178274,48
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;110;0,00;153472,94;0,00;0,00;127414,68;0,00;0,00;0,00;0,00;26058,26
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;12;127414,68;0,00;0,00;0,00;0,00;127414,68;0,00;0,00;0,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;2051;33987,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33987,65;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;2181;43517,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43517,52;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;2182;19713,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19713,81;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;21838;43262,44;0,00;0,00;0,00;0,00;2769,99;0,00;0,00;40492,45;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;21848;36275,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36275,47;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;2185;11106,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11106,93;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;;2188;8100,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8100,07;0,00
